experiment_id,description,dataset_id,source_tag,source_bundle,source_targets,source_members,n_train_cases,n_train_patients,targets,n_external_patients_total
RS01,ROI-constrained single-sequence screening using T2/T2WI family,401,T2_MAIN,T2_MAIN,T2_MAIN,T2+T2WI,909,909,T2_MAIN,101
RS02,ROI-constrained single-sequence screening using DWI,402,DWI,DWI,DWI,DWI,397,397,DWI,101
RS03,ROI-constrained single-sequence screening using ADC,403,ADC,ADC,ADC,ADC,511,511,ADC,101
RS04,ROI-constrained single-sequence screening using T1,404,T1,T1,T1,T1,512,512,T1,101
RS05,ROI-constrained single-sequence screening using InPhase,405,InPhase,InPhase,InPhase,InPhase,397,397,InPhase,101
RS06,ROI-constrained single-sequence screening using OutPhase,406,OutPhase,OutPhase,OutPhase,OutPhase,397,397,OutPhase,101
RS07,ROI-constrained single-sequence screening using C-pre,407,C-pre,C-pre,C-pre,C-pre,397,397,C-pre,101
RS08,ROI-constrained single-sequence screening using ARTERIAL,408,ARTERIAL,ARTERIAL,ARTERIAL,ARTERIAL,910,910,ARTERIAL,101
RS09,ROI-constrained single-sequence screening using PORTAL,409,PORTAL,PORTAL,PORTAL,PORTAL,910,910,PORTAL,101
RS10,ROI-constrained single-sequence screening using DELAY,410,DELAY,DELAY,DELAY,DELAY,911,911,DELAY,101
