bundle,subset,members,n_cases,n_patients
T2_MAIN,test,T2+T2WI,101,101
T2_MAIN,train,T2+T2WI,909,909
DWI,test,DWI,101,101
DWI,train,DWI,397,397
ADC,train,ADC,511,511
T1,train,T1,512,512
InPhase,test,InPhase,101,101
InPhase,train,InPhase,397,397
OutPhase,test,OutPhase,101,101
OutPhase,train,OutPhase,397,397
C-pre,test,C-pre,101,101
C-pre,train,C-pre,397,397
ARTERIAL,test,ARTERIAL,101,101
ARTERIAL,train,ARTERIAL,910,910
PORTAL,test,PORTAL,101,101
PORTAL,train,PORTAL,910,910
DELAY,test,DELAY,101,101
DELAY,train,DELAY,911,911
